iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
AFG,Asia,Afghanistan,6/29/2020,30967,351,721,18,795.487,9.017,18.521,0.462,38928341,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83
ALB,Europe,Albania,6/29/2020,2402,72,55,2,834.665,25.019,19.112,0.695,2877800,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57
DZA,Africa,Algeria,6/29/2020,13273,305,897,5,302.684,6.955,20.456,0.114,43851043,17.348,29.1,6.211,3.857,13913.839,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88
AND,Europe,Andorra,6/29/2020,855,0,52,0,11065.812,0,673.008,0,77265,163.755,,,,,,109.135,7.97,29,37.8,,,83.73
AGO,Africa,Angola,6/29/2020,267,23,11,1,8.124,0.7,0.335,0.03,32866268,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15
AIA,North America,Anguilla,6/29/2020,3,0,0,0,199.973,0,0,0,15002,,,,,,,,,,,,,81.88
ATG,North America,Antigua and Barbuda,6/29/2020,65,0,3,0,663.753,0,30.635,0,97928,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02
ARG,South America,Argentina,6/29/2020,57731,0,1217,10,1277.354,0,26.927,0.221,45195777,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5,76.67
ARM,Asia,Armenia,6/29/2020,25127,482,433,7,8479.587,162.66,146.124,2.362,2963234,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09
ABW,North America,Aruba,6/29/2020,101,0,3,0,945.994,0,28.099,0,106766,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,,76.29
